,%16-18,16-18,%19-21,19-21,%22-24,22-24,%Total,Total
Total,100.0,50053.0,100.0,41651.0,100.0,48031.0,100.0,139735.0
Opportunity Youth,5.604059696721475,2805.0,17.488175554008308,7284.0,18.171597509941495,8728.0,13.466203885926934,18817.0
Working without Diploma,1.1727568777096278,587.0,4.919449713092123,2049.0,5.989881534842081,2877.0,3.9453250796149857,5513.0
Not Opportunity Youth,93.2231834255689,46661.0,77.59237473289957,32318.0,75.83852095521642,36426.0,82.58847103445808,115405.0
