,%16-18,16-18,%19-21,19-21,%22-24,22-24,%Total,Total
Total,100.0,2805.0,100.0,7284.0,100.0,8728.0,100.0,18817.0
No Diploma,57.39750445632799,1610.0,28.11641954969797,2048.0,22.697066911090744,1981.0,29.967582505181483,5639.0
HS Diploma or GED,35.115864527629235,985.0,45.97748489840747,3349.0,35.139780018331805,3067.0,39.33145559866079,7401.0
"Some College, No Degree",6.381461675579322,179.0,22.8720483250961,1666.0,20.1993583868011,1763.0,19.174151033639795,3608.0
Degree (Associate or Higher),1.1051693404634582,31.0,3.0340472267984624,221.0,21.963794683776353,1917.0,11.526810862517936,2169.0
